"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1634","readExcelLogin","ServeRest","Wed Apr 30 18:44:15 UTC 2025","passed","Wed Apr 30 18:44:17 UTC 2025","br.com.serverest.test.LoginTest","RegressionServerestLogin","br.com.serverest.test.LoginTest","readExcelLogin"
"","223","loginPayloadObjectMapper","ServeRest","Wed Apr 30 18:44:15 UTC 2025","passed","Wed Apr 30 18:44:15 UTC 2025","br.com.serverest.test.LoginTest","RegressionServerestLogin","br.com.serverest.test.LoginTest","loginPayloadObjectMapper"
"","294","listarTodosProdutos","ServeRest","Wed Apr 30 18:44:17 UTC 2025","passed","Wed Apr 30 18:44:17 UTC 2025","br.com.serverest.test.ProdutosTest","RegressionServerestProdutos","br.com.serverest.test.ProdutosTest","listarTodosProdutos"
"","2748","loginEmailPasswordIncorreto","ServeRest","Wed Apr 30 18:44:12 UTC 2025","passed","Wed Apr 30 18:44:15 UTC 2025","br.com.serverest.test.LoginTest","RegressionServerestLogin","br.com.serverest.test.LoginTest","loginEmailPasswordIncorreto"
"","752","findProdutoById","ServeRest","Wed Apr 30 18:44:17 UTC 2025","passed","Wed Apr 30 18:44:18 UTC 2025","br.com.serverest.test.ProdutosTest","RegressionServerestProdutos","br.com.serverest.test.ProdutosTest","findProdutoById"
"","4264","loginEmailIgualEmBranco","ServeRest","Wed Apr 30 18:44:12 UTC 2025","passed","Wed Apr 30 18:44:17 UTC 2025","br.com.serverest.test.LoginTest","RegressionServerestLogin","br.com.serverest.test.LoginTest","loginEmailIgualEmBranco"
"","197","loginSucesso","ServeRest","Wed Apr 30 18:44:15 UTC 2025","passed","Wed Apr 30 18:44:15 UTC 2025","br.com.serverest.test.LoginTest","RegressionServerestLogin","br.com.serverest.test.LoginTest","loginSucesso"
"","184","serializationJavaObjectToJsonObjectUsingJacksonApi","ServeRest","Wed Apr 30 18:44:15 UTC 2025","passed","Wed Apr 30 18:44:15 UTC 2025","br.com.serverest.test.LoginTest","RegressionServerestLogin","br.com.serverest.test.LoginTest","serializationJavaObjectToJsonObjectUsingJacksonApi"
"","1229","validarJsonSchema","ServeRest","Wed Apr 30 18:44:15 UTC 2025","passed","Wed Apr 30 18:44:17 UTC 2025","br.com.serverest.test.LoginTest","RegressionServerestLogin","br.com.serverest.test.LoginTest","validarJsonSchema"
"","4262","loginEmailIgualNull","ServeRest","Wed Apr 30 18:44:12 UTC 2025","passed","Wed Apr 30 18:44:17 UTC 2025","br.com.serverest.test.LoginTest","RegressionServerestLogin","br.com.serverest.test.LoginTest","loginEmailIgualNull"
"","4282","loginEmailEPasswordIgualNull","ServeRest","Wed Apr 30 18:44:12 UTC 2025","passed","Wed Apr 30 18:44:17 UTC 2025","br.com.serverest.test.LoginTest","RegressionServerestLogin","br.com.serverest.test.LoginTest","loginEmailEPasswordIgualNull"
"","541","cadastrarProdutoComSucessoComPOJO","ServeRest","Wed Apr 30 18:44:17 UTC 2025","passed","Wed Apr 30 18:44:17 UTC 2025","br.com.serverest.test.ProdutosTest","RegressionServerestProdutos","br.com.serverest.test.ProdutosTest","cadastrarProdutoComSucessoComPOJO"
"","2685","SerializeJavaToJsonObjectUsingGSON","ServeRest","Wed Apr 30 18:44:12 UTC 2025","passed","Wed Apr 30 18:44:15 UTC 2025","br.com.serverest.test.LoginTest","RegressionServerestLogin","br.com.serverest.test.LoginTest","SerializeJavaToJsonObjectUsingGSON"
"","264","ValidatePostUser","ServeRest","Wed Apr 30 18:44:18 UTC 2025","passed","Wed Apr 30 18:44:18 UTC 2025","br.com.serverest.test.UsuariosTest","RegressionServerestUsuarios","br.com.serverest.test.UsuariosTest","ValidatePostUser"
"","4285","loginEmailEPasswordEmBranco","ServeRest","Wed Apr 30 18:44:12 UTC 2025","passed","Wed Apr 30 18:44:17 UTC 2025","br.com.serverest.test.LoginTest","RegressionServerestLogin","br.com.serverest.test.LoginTest","loginEmailEPasswordEmBranco"
"","4273","loginPasswordIgualNull","ServeRest","Wed Apr 30 18:44:12 UTC 2025","passed","Wed Apr 30 18:44:17 UTC 2025","br.com.serverest.test.LoginTest","RegressionServerestLogin","br.com.serverest.test.LoginTest","loginPasswordIgualNull"
"","445","cadastrarProdutoComSucessoComMap","ServeRest","Wed Apr 30 18:44:17 UTC 2025","passed","Wed Apr 30 18:44:17 UTC 2025","br.com.serverest.test.ProdutosTest","RegressionServerestProdutos","br.com.serverest.test.ProdutosTest","cadastrarProdutoComSucessoComMap"
"","4263","loginPasswordEmBranco","ServeRest","Wed Apr 30 18:44:12 UTC 2025","passed","Wed Apr 30 18:44:17 UTC 2025","br.com.serverest.test.LoginTest","RegressionServerestLogin","br.com.serverest.test.LoginTest","loginPasswordEmBranco"
"","2679","loginPayloadJsonFile","ServeRest","Wed Apr 30 18:44:12 UTC 2025","passed","Wed Apr 30 18:44:15 UTC 2025","br.com.serverest.test.LoginTest","RegressionServerestLogin","br.com.serverest.test.LoginTest","loginPayloadJsonFile"
"","2677","loginDeserializeJsonToJava","ServeRest","Wed Apr 30 18:44:12 UTC 2025","passed","Wed Apr 30 18:44:15 UTC 2025","br.com.serverest.test.LoginTest","RegressionServerestLogin","br.com.serverest.test.LoginTest","loginDeserializeJsonToJava"
"","497","ValidateSearchAllUsers","ServeRest","Wed Apr 30 18:44:18 UTC 2025","passed","Wed Apr 30 18:44:18 UTC 2025","br.com.serverest.test.UsuariosTest","RegressionServerestUsuarios","br.com.serverest.test.UsuariosTest","ValidateSearchAllUsers"
